Symbol,Name,IndustryCode,Industry
WAVE,Eco Wave Power Global AB (publ) ADR,59101010,전력 유틸리티
SEED,Origin Agritech Ltd,54102010,어업 및 농업
APTO,Aptose Biosciences Inc,56202010,생명 공학 및 의학 연구
BIOR,Biora Therapeutics Inc,56202010,생명 공학 및 의학 연구
HTCR,HeartCore Enterprises Inc,57201020,소프트웨어
MYNZ,Mainz Biomed NV,56102010,의료 시설 및 서비스
HTOO,Fusion Fuel Green PLC,50201020,재생 가능 연료
TCRT,Alaunos Therapeutics Inc,56202010,생명 공학 및 의학 연구
VRM,Vroom Inc,57201030,온라인 서비스
NKGN,NKGen Biotech Inc,56202010,생명 공학 및 의학 연구
STRM,Streamline Health Solutions Inc,56102010,의료 시설 및 서비스
GLTO,Galecto Inc,56202010,생명 공학 및 의학 연구
AIH,Aesthetic Medical International Holdings Group Ltd ADR,56102010,의료 시설 및 서비스
IMPPP,Imperial Petroleum 8.75 Cumulative Redeemable Perpetual Pref Shs Series A,50201020,재생 가능 연료
ANY,Sphere 3D Corp,57301030,블록 체인 및 암호화폐
ETAO,ETAO International Co Ltd,56101010,첨단 의료 장비 및 기술
VRAR,Glimpse Group Inc,57201020,소프트웨어
VINC,Vincerx Pharma Inc,56202010,생명 공학 및 의학 연구
STBX,Starbox Group Holdings Ltd,52203040,경영 지원 서비스
ZCAR,Zoomcar Holdings Inc,52406020,지상 및 해상 여객 운송
IPDN,Professional Diversity Network Inc,52203030,고용 서비스
KALA,KALA BIO Inc,56201040,제약
OCCIO,OFS Credit Company 6 125 Prf Series C,55501030,폐쇄형 펀드
DTSS,Datasea Inc,57201020,소프트웨어
MULN,Mullen Automotive Inc,53101010,자동차 및 트럭 제조
UGRO,urban-gro Inc,54102010,어업 및 농업
CWD,CaliberCos Inc,55102020,투자 관리 및 펀드 운영
OP,Oceanpal Inc,52405020,해양 화물 및 물류
TAIT,Taitron Components Inc,57104010,전자 장비 및 부품
HUGE,FSD Pharma Inc,56202010,생명 공학 및 의학 연구
MLGO,MicroAlgo Inc,57201010,IT 서비스 및 컨설팅
BTOG,Bit Origin Ltd,57301030,블록 체인 및 암호화폐
GFAI,Guardforce AI Co Ltd,52203040,경영 지원 서비스
PIXY,ShiftPixy Inc,52203030,고용 서비스
ATHE,Alterity Therapeutics Ltd ADR,56202010,생명 공학 및 의학 연구
SSKN,STRATA Skin Sciences Inc,56101010,첨단 의료 장비 및 기술
PMCB,PharmaCyte Biotech Inc,56201040,제약
JYD,Jayud Global Logistics Ltd,52405010,"배달, 우편, 항공 화물 및 육상 물류"
CCLD,CareCloud Inc,57201020,소프트웨어
DYCQ,DT Cloud Acquisition Corp,55601010,투자 지주 회사
MIGI,Mawson Infrastructure Group Inc,57201010,IT 서비스 및 컨설팅
ATPC,Agape ATP Corp,56101020,"의료 장비, 물품 및 유통"
AKLI,Akili Inc,56101010,첨단 의료 장비 및 기술
ZKIN,ZK International Group Co Ltd,53203020,건설 자재 및 비품
BIMI,BIMI Holdings Inc,56201040,제약
SANW,S&W Seed Co,54102010,어업 및 농업
SOGP,Sound Group Inc ADR,57201030,온라인 서비스
FCUV,Focus Universal Inc,57201020,소프트웨어
FLGC,Flora Growth Corp,56102010,의료 시설 및 서비스
STRRP,Star Equity Holdings Cumulative Perpetual Pref Shs Series A,56102010,의료 시설 및 서비스
GCTK,GlucoTrack Inc,56202010,생명 공학 및 의학 연구
VBIV,VBI Vaccines Inc,56202010,생명 공학 및 의학 연구
PAVM,PAVmed Inc,56101010,첨단 의료 장비 및 기술
LITM,Snow Lake Resources Ltd,51201050,특수 채굴 및 금속
PRST,Presto Automation Inc,57201010,IT 서비스 및 컨설팅
FTFT,Future Fintech Group Inc,57301030,블록 체인 및 암호화폐
WHLR,Wheeler Real Estate Investment Trust Inc,60102020,상업용 REITs
BNTC,Benitec Biopharma Inc,56202010,생명 공학 및 의학 연구
TLPH,Talphera Inc,56201040,제약
HOLO,MicroCloud Hologram Inc,57201020,소프트웨어
TRAW,Traws Pharma Inc,56202010,생명 공학 및 의학 연구
GYRO,Gyrodyne LLC,60101010,"부동산 임대, 개발 및 운영"
ORGS,Orgenesis Inc,56101020,"의료 장비, 물품 및 유통"
JCTCF,Jewett-Cameron Trading Company Ltd,51301010,임업 및 목재 제품
NERV,Minerva Neurosciences Inc,56202010,생명 공학 및 의학 연구
JG,Aurora Mobile Ltd ADR,57201010,IT 서비스 및 컨설팅
PETV,PetVivo Holdings Inc,56101020,"의료 장비, 물품 및 유통"
BSGM,BioSig Technologies Inc,56101010,첨단 의료 장비 및 기술
NRBO,NeuroBo Pharmaceuticals Inc,56202010,생명 공학 및 의학 연구
MCVT,Mill City Ventures III Ltd,55101030,소비자 대출
AXDX,Accelerate Diagnostics Inc,56101010,첨단 의료 장비 및 기술
DOMH,Dominari Holdings Inc,56202010,생명 공학 및 의학 연구
NCRA,Nocera Inc,54102010,어업 및 농업
HWH,HWH International Inc,57201020,소프트웨어
GVH,Globavend Holdings Ltd,52405010,"배달, 우편, 항공 화물 및 육상 물류"
MMAT,Meta Materials Inc,57104010,전자 장비 및 부품
TSRI,TSR Inc,57201010,IT 서비스 및 컨설팅
EDUC,Educational Development Corp,53302040,소비자 출판
HKIT,Hitek Global Inc,57107010,통합 하드웨어 및 소프트웨어
TLIS,Talis Biomedical Corp,56202010,생명 공학 및 의학 연구
BENF,Beneficient,57301010,핀테크
BOSC,BOS Better Online Solutions Ltd,52102010,산업용 기계 및 장비
ATER,Aterian Inc,53204030,"가전제품, 도구 및 가정 용품"
WBUY,Webuy Global Ltd,57201030,온라인 서비스
ASTC,Astrotech Corp,57104010,전자 장비 및 부품
VRME,VerifyMe Inc,57201020,소프트웨어
FRSX,Foresight Autonomous Holdings Ltd ADR,57201020,소프트웨어
QTI,QT Imaging Holdings Inc,56101010,첨단 의료 장비 및 기술
LIQT,LiqTech International Inc,52203010,환경 서비스 및 장비
XELB,Xcel Brands Inc,53302030,엔터테인먼트 제작
FGFPP,Fundamental Global 8 00 Cumulative Pref Shs,55301050,재보험
SPI,SPI Energy Co Ltd,50201010,재생 가능 에너지 장비 및 서비스
CNVS,Cineverse Corp,53302030,엔터테인먼트 제작
SIDU,Sidus Space Inc,52101010,항공우주 및 방위
AYTU,Aytu Biopharma Inc,56201040,제약
PT,Pintec Technology Holdings Ltd ADR,57201010,IT 서비스 및 컨설팅
ONMD,Onemednet Corp,52203040,경영 지원 서비스
MTEX,Mannatech Inc,54102020,식품 가공
CANB,Can B Corp,54301020,식품 소매 및 유통
VWE,Vintage Wine Estates Inc,54101020,증류주 및 포도주
PIRS,Pieris Pharmaceuticals Inc,56202010,생명 공학 및 의학 연구
MHUA,Meihua International Medical Technologies Co Ltd,56101020,"의료 장비, 물품 및 유통"
SQFTP,Presidio Property Trus 9.375 Cumulative Redeemable Perpetual Cumulative,60102010,복합부동산 REITs
DPRO,Draganfly Inc,52101010,항공우주 및 방위
SGLY,Singularity Future Technology Ltd,52405010,"배달, 우편, 항공 화물 및 육상 물류"
COCP,Cocrystal Pharma Inc,56201040,제약
CISO,CISO Global Inc,57201030,온라인 서비스
YJ,Yunji Inc ADR,57201030,온라인 서비스
BGLC,BioNexus Gene Lab Corp,56102010,의료 시설 및 서비스
BRFH,Barfresh Food Group Inc,54101030,무알콜 음료
RMCO,Royalty Management Holding Corp,51201010,금 제외 귀금속 및 광물
ELBM,Electra Battery Materials Corp,51201050,특수 채굴 및 금속
PMD,Psychemedics Corp,56102010,의료 시설 및 서비스
MGIH,Millennium Group International Holdings Ltd,51302020,종이 포장재
GIPRU,Generation Income Properties Unit,60101010,"부동산 임대, 개발 및 운영"
BREA,Brera Holdings PLC,53301040,여가 및 오락시설
HLP,Hongli Group Inc,52102010,산업용 기계 및 장비
GURE,Gulf Resources Inc,51101010,상품 화학
GLBZ,Glen Burnie Bancorp,55101010,은행
GIGM,GigaMedia Ltd,57201030,온라인 서비스
